00 1 18
01 1 29
02 1 68
03 1 37
04 1 31
05 1 40
06 1 29
07 1 32
08 1 32
09 1 42
9: 1 2
10 1 78
11 1 51
12 1 54
13 1 46
14 1 129
15 1 69
16 1 55
17 1 38
18 1 35
19 1 64
20 1 30
21 1 31
22 1 26
23 1 30
00 2 44
01 2 45
02 2 42
03 2 47
04 2 32
05 2 44
06 2 25
07 2 33
08 2 24
09 2 32
10 2 54
11 2 51
12 2 45
13 2 70
14 2 114
15 2 41
16 2 44
17 2 38
18 2 47
19 2 49
20 2 37
21 2 45
22 2 25
23 2 26
00 3 32
01 3 39
02 3 56
03 3 39
04 3 33
05 3 39
06 3 28
07 3 25
08 3 34
09 3 47
10 3 43
11 3 53
12 3 48
13 3 70
14 3 126
15 3 59
16 3 51
17 3 45
18 3 41
19 3 46
20 3 30
21 3 40
22 3 23
23 3 33
00 4 34
01 4 35
02 4 49
03 4 43
04 4 32
05 4 30
06 4 37
07 4 36
08 4 39
09 4 48
10 4 66
11 4 54
12 4 43
13 4 61
14 4 111
15 4 50
16 4 40
17 4 27
18 4 59
19 4 44
20 4 38
21 4 45
22 4 33
23 4 29
00 5 31
01 5 50
02 5 65
03 5 44
04 5 34
05 5 36
06 5 28
07 5 35
08 5 41
09 5 51
10 5 64
11 5 64
12 5 74
13 5 80
14 5 135
15 5 53
16 5 58
17 5 45
18 5 64
19 5 51
20 5 39
21 5 44
22 5 34
23 5 37
00 6 19
00 6 18
01 6 42
02 6 30
03 6 33
04 6 45
05 6 31
06 6 84
07 6 37
08 6 34
09 6 29
10 6 33
11 6 41
12 6 41
13 6 43
14 6 99
15 6 41
16 6 39
17 6 27
18 6 29
19 6 31
20 6 21
21 6 27
22 6 19
23 6 26
00 7 14
01 7 32
02 7 28
03 7 29
04 7 24
05 7 36
06 7 12
07 7 24
08 7 28
09 7 29
9 7 1
10 7 27
11 7 34
12 7 16
13 7 24
14 7 89
15 7 21
16 7 35
17 7 30
18 7 23
19 7 48
20 7 45
21 7 49
22 7 28
23 7 19
